;Unnamed: 0;year;countryName;regionName;NUTRITION_ANAEMIA_CHILDREN_PRE;CM_03;CHILDMORT5TO14;CM_01;CM_02;MDG_0000000001;MDG_0000000020;MDG_0000000007;WHS4_544;WHS4_100;WSH_SANITATION_BASIC;WHOSIS_000003;WHOSIS_000014;WHS8_110;WSH_WATER_BASIC;TB_e_inc_num;WHOSIS_000016;HEMOGLOBINLEVEL_CHILDREN_MEAN;HEMOGLOBINLEVEL_PREGNANT_MEAN;NCD_HYP_PREVALENCE_C;NCD_HYP_PREVALENCE_A;NUTRITION_ANAEMIA_NONPREGNANT__x;NCD_HYP_CONTROL_C;NCD_HYP_TREATMENT_A;NUTRITION_ANAEMIA_REPRODUCTIVE_x;NUTRITION_ANAEMIA_PREGNANT_NUM;NUTRITION_ANAEMIA_CHILDREN_NUM;CM_04;CHILDMORT10TO19;NCD_HYP_DIAGNOSIS_C;CHILDMORT_DEATHS_10TO14;HEMOGLOBINLEVEL_REPRODUCTIVEAG;CHILDMORT_MORTALITY_10TO14;NUTRITION_ANAEMIA_PREGNANT_PRE;HEMOGLOBINLEVEL_NONPREGNANT_ME;NUTRITION_ANAEMIA_NONPREGNANT__y;NCD_HYP_DIAGNOSIS_A;NCD_HYP_CONTROL_A;NUTRITION_ANAEMIA_REPRODUCTIVE_y;NCD_HYP_TREATMENT_C;POP;percent
3363;3363;2003;Nauru;Western Pacific;136.0;7.0;22.69755;24.0;18.0;95.81984;33.0;118.09447;66.0;80.0;131.35494;24.79145;13.82122;53.0;192.77002;3.0;12.93986;111.0;114.0;95.4;105.8;89.72800000000001;29.1;79.30000000000001;92.054;0.2259999999999999;1.71;2.0;56.772;121.8;2.0;126.0;3.28431;118.20000000000002;127.0;89.72800000000001;127.1;30.6;92.054;72.7;10344.0;1.3147718484145399
3364;3364;2005;Nauru;Western Pacific;139.5;7.0;22.24105;22.0;18.0;93.70035;123.0;115.08548;80.0;80.0;131.32216;24.55935;13.67196;80.0;194.09536;13.0;12.65585;110.0;114.0;97.2;107.2;89.70200000000001;30.8;80.2;92.337;0.2249999999999999;1.711;2.0;55.80282;125.1;2.0;126.0;3.23175;118.2;126.0;89.70200000000001;130.5;32.3;92.337;73.8;10318.0;1.3520062027524715
3365;3365;2006;Nauru;Western Pacific;141.3;8.0;22.18138;24.0;18.0;93.34919;134.0;114.58765;90.0;72.0;131.30578;24.48906;13.64097;99.0;194.75804;14.0;12.6183;110.0;114.0;98.5;108.2;90.0;31.7;80.8;92.335;0.2249999999999999;1.714;2.0;55.64117999999999;127.0;2.0;125.0;3.22666;117.6;126.0;90.0;132.2;33.3;92.335;74.4;10294.0;1.372644258791529
3366;3366;2007;Nauru;Western Pacific;142.5;8.0;22.15837;24.0;20.0;93.28486;34.0;114.57945999999998;99.0;99.0;131.28938;24.45084;13.63107;99.0;195.4207;3.0;12.6051;110.0;114.0;99.9;109.5;90.00200000000001;32.5;81.3;92.337;0.2259999999999999;1.765;2.0;55.57106000000001;129.29999999999998;2.0;125.0;3.22526;117.5;126.0;90.00200000000001;134.2;34.099999999999994;92.337;75.19999999999999;10267.0;1.3879419499366905
3367;3367;2008;Nauru;Western Pacific;143.10000000000002;8.0;22.17905;24.0;20.0;93.27794;56.0;114.55696;99.0;99.0;131.273;24.3564;13.60408;99.0;196.08338;6.0;12.62193;110.0;114.0;101.4;110.7;89.498;33.2;81.9;92.024;0.2259999999999999;1.8010000000000002;2.0;55.583870000000005;131.3;2.0;125.0;3.22073;116.8;126.0;89.498;136.3;35.0;92.024;75.7;10243.0;1.3970516450258716
3368;3368;2009;Nauru;Western Pacific;142.8;8.0;22.10061;26.0;20.0;92.86008;45.0;113.87247;99.0;99.0;131.2566;24.21611;13.57674;99.0;196.74606;5.0;12.57536;110.0;114.0;103.0;112.2;88.796;34.0;82.4;91.112;0.2259999999999999;1.847;2.0;55.40765;133.6;2.0;126.0;3.20143;115.9;126.0;88.796;138.5;35.7;91.112;76.3;10233.0;1.3954851949574905
3369;3369;2010;Nauru;Western Pacific;141.89999999999998;9.0;21.86949;26.0;22.0;91.74192;34.0;112.38013;99.0;99.0;131.24022;23.97408;13.52649;99.0;197.40872;3.0;12.42979;110.0;114.0;104.4;113.7;88.498;34.7;83.0;90.814;0.2259999999999999;1.888;2.0;54.93087;135.8;2.0;126.0;3.17331;114.9;126.0;88.498;140.7;36.5;90.814;76.9;10241.0;1.3856068743286785
3370;3370;2011;Nauru;Western Pacific;141.0;9.0;21.53723;26.0;22.0;90.22654;56.0;110.30489;99.0;99.0;131.22384;23.65917;13.38369;99.0;198.0714;6.0;12.21759;110.0;114.0;106.0;115.1;88.59700000000001;35.4;83.4;90.91299999999998;0.2259999999999999;1.924;2.0;54.278400000000005;138.0;2.0;126.0;3.13302;114.3;126.0;88.59700000000001;143.0;37.2;90.91299999999998;77.39999999999999;10283.0;1.371195176504911
3371;3371;2012;Nauru;Western Pacific;139.2;8.0;21.14568;26.0;22.0;88.46094;68.0;107.9232;79.0;79.0;131.20744;23.13048;13.24285;96.0;198.73406;7.0;11.96298;110.0;114.0;107.3;116.4;88.5;36.0;83.9;90.836;0.2259999999999999;1.946;2.0;53.51287;140.1;2.0;126.0;3.08127;113.4;126.0;88.5;145.1;38.0;90.836;77.7;10444.0;1.332822673305247
3372;3372;2013;Nauru;Western Pacific;137.2;8.0;20.704;26.0;20.0;86.43722;76.0;105.19777;87.0;87.0;131.19106;22.58113;13.11325;97.0;199.39674;8.0;11.66968;111.0;115.0;108.5;117.8;88.50200000000001;36.8;84.3;90.537;0.2249999999999999;1.92;2.0;52.67749;142.39999999999998;2.0;126.0;3.02738;112.5;126.0;88.50200000000001;147.4;38.8;90.537;78.1;10694.0;1.2829624088273797
3373;3373;2014;Nauru;Western Pacific;135.1;8.0;20.2431;24.0;20.0;84.3903;84.0;102.42217;95.0;95.0;131.19106;21.98247;12.91037;98.0;200.0;9.0;11.36657;111.0;115.0;109.9;119.0;88.21499999999999;37.7;84.6;90.228;0.213;1.891;2.0;51.90512;144.4;2.0;126.0;2.96582;111.3;126.0;88.21499999999999;149.60000000000002;39.7;90.228;78.4;10940.0;1.2349177330895795
3374;3374;2015;Nauru;Western Pacific;132.89999999999998;8.0;19.76923;24.0;20.0;82.3997;103.0;99.75484;91.0;91.0;131.19106;21.38941;12.72897;98.0;200.0;12.0;11.06695;111.0;115.0;111.2;120.3;88.541;38.5;85.0;90.543;0.212;1.863;2.0;51.16593;146.7;2.0;126.0;2.90433;110.4;126.0;88.541;151.7;40.6;90.543;78.69999999999999;11185.0;1.1881984801072865
3375;3375;2016;Nauru;Western Pacific;131.0;7.0;19.27618;24.0;20.0;80.26877;101.0;96.95204;97.0;97.0;131.19106;20.75708;12.58583;98.0;200.0;12.0;10.76679;111.0;115.0;112.8;121.5;88.96;39.4;85.30000000000001;90.97100000000002;0.211;1.833;2.0;50.37653;148.8;2.0;125.0;2.84658;109.8;126.0;88.96;153.8;41.7;90.97100000000002;79.0;11437.0;1.1454052636180818
3376;3376;2017;Nauru;Western Pacific;129.0;7.0;18.79973;22.0;18.0;78.07789;89.0;94.0971;87.0;87.0;131.19106;20.11958;12.39389;95.0;200.0;10.0;10.48287;111.0;115.0;114.4;122.7;89.18800000000002;40.4;85.5;90.997;0.209;1.799;2.0;49.5369;150.8;2.0;125.0;2.7864;109.1;126.0;89.18800000000002;155.7;42.6;90.997;79.5;11682.0;1.1042629686697483
3377;3377;2018;Nauru;Western Pacific;126.9;7.0;18.33341;22.0;18.0;75.96694;48.0;91.26035;90.0;90.0;;19.52493;12.20167;99.0;200.0;6.0;10.20833;112.0;115.0;116.0;124.0;89.505;41.4;85.8;90.903;0.208;1.754;2.0;48.665600000000005;152.8;2.0;125.0;2.72685;108.4;126.0;89.505;157.60000000000002;43.7;90.903;79.8;11924.0;1.064240187856424
3378;3378;2019;Nauru;Western Pacific;125.4;7.0;17.862659999999998;20.0;18.0;73.77620999999999;161.0;88.42038;96.0;96.0;;18.85688;11.9789;95.0;200.0;20.0;9.9298;112.0;115.0;117.6;125.2;89.83399999999999;42.7;86.2;91.23;0.207;1.71;2.0;47.74452;154.9;2.0;125.0;2.6664;107.8;126.0;89.83399999999999;159.5;45.0;91.23;80.4;12132.0;1.0336300692383777
3379;3379;2000;Nauru;Western Pacific;132.0;8.0;24.26916;26.0;20.0;102.72751;44.0;127.71749;27.0;44.0;131.4041;25.58508;14.05763;8.0;190.78202;5.0;13.90974;111.0;114.0;93.9;105.0;89.791;26.9;78.9;92.43;0.2299999999999999;1.825;2.0;59.55629;117.9;2.0;126.0;3.47348;117.8;127.0;89.791;123.5;28.3;92.43;71.8;10377.0;1.2720439433362243
