;year;countryName;regionName;percent
3298;2019;Philippines;Western Pacific;0.011792530520071226
3318;2019;Papua New Guinea;Western Pacific;0.011583459488439385
3338;2019;Singapore;Western Pacific;0.0020640170598518175
3358;2019;Solomon Islands;Western Pacific;0.016395207061406562
3378;2019;Tonga;Western Pacific;0.03280807233851988
3398;2019;Viet Nam;Western Pacific;0.030774995459230403
3418;2019;Vanuatu;Western Pacific;0.014642409429573858
3438;2019;Samoa;Western Pacific;0.012118911776503621
3458;2019;Bangladesh;South-East Asia;0.015118064983382716
3478;2019;Bhutan;South-East Asia;0.016088299179500144
3498;2019;Indonesia;South-East Asia;0.01137603405213294
3518;2019;India;South-East Asia;0.015370837091615247
3538;2019;Sri Lanka;South-East Asia;0.01939848119582826
3558;2019;Maldives;South-East Asia;0.0017130352739698877
3578;2019;Myanmar;South-East Asia;0.020746806215631262
3598;2019;Nepal;South-East Asia;0.016143194817403252
3618;2019;Democratic People's Republic of Korea;South-East Asia;
3638;2019;Thailand;South-East Asia;0.03145225576631818
3658;2019;Timor-Leste;South-East Asia;0.01202144110062338
